timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
23:33:50,13,101.4,129.8,8,106.2,122.7,7,120.4,125.3
23:34:00,135,70.2,127.7,123,67.9,121.2,86,68.6,121.0
23:34:10,153,60.1,65.5,130,60.7,65.8,93,60.0,65.3
23:34:20,162,61.3,68.2,128,62.5,76.5,95,61.0,67.9
23:34:30,121,425.4,2360.9,110,468.6,2444.5,78,458.8,2571.5
23:34:40,153,61.5,71.2,132,62.6,75.4,101,61.4,69.1
23:34:50,149,61.6,70.5,131,61.8,72.3,89,60.6,65.7
23:35:00,156,60.7,68.5,135,60.9,66.5,100,60.4,67.9
23:35:10,144,60.9,68.5,136,61.2,70.1,93,60.8,68.2
23:35:20,155,61.2,71.1,130,61.4,70.2,100,61.0,69.7
23:35:30,145,61.4,72.5,133,72.8,92.2,101,61.5,72.3
23:35:40,154,84.1,298.6,132,73.6,118.3,86,78.5,81.3
23:35:50,158,60.6,68.7,130,61.6,72.8,100,60.5,68.7
23:36:00,155,61.6,72.5,133,62.5,75.5,94,61.4,70.5
23:36:10,155,63.4,74.6,133,62.4,68.8,95,61.7,67.8
23:36:20,152,62.8,73.2,133,62.8,76.8,98,62.2,68.6
23:36:30,155,61.9,67.0,132,62.9,71.8,92,62.1,71.9
23:36:40,155,62.1,70.3,139,62.8,73.8,100,62.4,75.9
23:36:50,157,62.7,72.0,132,62.6,67.8,101,61.9,69.4
23:37:00,185,64.7,76.5,170,66.7,115.0,123,64.7,79.7
23:37:10,232,64.4,74.9,202,64.8,75.4,148,63.1,70.1
23:37:20,278,144.2,910.7,245,147.8,753.1,179,131.2,669.2
23:37:30,342,66.9,89.0,298,70.0,115.2,210,69.1,115.0
23:37:40,390,68.9,103.3,338,71.4,105.6,231,65.8,76.2
23:37:50,448,66.5,100.1,385,66.2,91.3,285,63.7,77.9
23:38:00,485,65.7,92.4,429,65.4,88.4,306,63.3,75.3
23:38:10,533,70.4,119.4,449,88.6,241.2,334,63.2,73.9
23:38:20,499,179.2,885.6,511,128.6,591.5,360,64.5,82.1
23:38:30,650,153.6,791.0,544,117.1,349.9,397,64.8,78.7
23:38:40,657,120.7,343.3,583,107.1,273.4,420,100.6,361.1
23:38:50,717,117.4,393.9,616,86.3,151.2,421,205.7,1025.1
23:39:00,764,129.7,313.2,673,95.0,157.7,488,71.1,108.6
23:39:10,820,98.9,174.1,694,147.9,451.5,503,68.7,101.0
23:39:20,846,183.1,736.9,755,105.7,187.1,536,106.1,361.8
23:39:30,838,242.8,847.4,769,122.5,235.5,566,148.7,601.8
23:39:40,888,123.3,221.2,776,370.5,1052.3,600,101.9,303.2
23:39:50,999,209.1,855.3,823,221.3,727.1,639,164.1,703.0
23:40:00,1040,145.1,308.6,821,289.1,912.8,603,249.6,800.4
23:40:10,1067,160.8,292.3,916,218.9,629.1,696,85.2,132.5
23:40:20,1107,184.6,318.4,903,171.9,308.7,704,157.9,741.6
23:40:30,1066,343.2,832.9,942,296.1,811.6,753,95.2,154.2
23:40:40,1107,337.5,989.5,995,449.6,1272.8,757,176.6,703.5
23:40:50,1142,334.1,1114.4,1074,233.7,464.4,797,94.8,167.4
23:41:00,1082,530.9,1318.4,1075,214.9,371.2,796,185.6,820.4
23:41:10,1206,263.4,506.4,1067,260.4,531.1,820,99.6,180.7
23:41:20,1093,499.3,1299.2,1089,218.6,383.8,830,106.4,201.1
23:41:30,1208,340.6,690.9,1027,317.0,625.9,805,111.6,208.0
23:41:40,1176,302.8,547.1,1050,298.8,539.0,817,116.8,194.2
23:41:50,1194,319.5,548.7,1057,269.4,441.2,813,104.7,171.8
23:42:00,1208,301.6,587.5,1008,383.7,1129.1,795,238.7,922.1
23:42:10,1192,272.2,521.1,1058,271.2,491.4,706,232.6,794.2
23:42:20,1158,292.4,499.7,1049,310.6,701.2,811,210.0,792.4
23:42:30,1235,305.7,617.5,1044,311.3,631.7,812,144.9,359.7
23:42:40,1190,315.3,525.1,1021,361.9,658.7,817,103.6,183.3
23:42:50,1168,326.6,629.4,1028,330.7,599.6,797,114.5,213.5
23:43:00,1175,352.6,714.9,1054,329.6,596.7,811,113.5,206.5
23:43:10,1168,373.4,829.7,1028,282.2,500.2,815,99.6,151.6
23:43:20,1125,371.6,785.1,1057,266.6,446.6,835,102.1,171.8
23:43:30,1200,311.6,597.4,1063,292.9,522.7,807,110.5,201.8
23:43:40,1187,290.9,542.1,1027,317.6,626.7,820,108.8,195.9
23:43:50,1184,295.9,528.7,1005,402.8,986.1,815,122.8,214.6
23:44:00,1108,380.9,819.3,1014,346.4,869.4,800,192.6,732.8
23:44:10,1198,401.7,966.0,1035,291.2,511.4,805,102.1,172.1
23:44:20,1182,275.0,518.9,1028,297.5,505.7,838,112.8,213.2
23:44:30,1178,332.2,695.5,1063,296.5,606.0,819,123.6,227.4
23:44:40,1185,323.7,652.7,1055,285.9,535.2,804,109.8,208.7
23:44:50,1092,455.3,1181.9,1020,339.1,731.8,817,129.0,324.2
23:45:00,1172,332.2,623.2,985,448.7,1182.7,814,148.1,463.9
23:45:10,1154,336.0,594.1,1042,292.0,520.8,787,160.7,510.1
23:45:20,1193,323.9,609.0,1055,261.8,505.3,821,109.2,191.9
23:45:30,1201,333.7,666.9,1065,275.7,493.1,749,235.4,809.6
23:45:40,896,294.3,490.4,796,260.7,405.8,601,105.0,207.6
23:49:20,83,87.5,142.6,68,91.0,173.0,53,81.4,132.7
23:49:30,156,61.2,70.8,129,61.3,69.0,97,60.9,70.5
23:49:40,157,61.8,72.9,135,61.5,70.0,95,60.3,68.4
23:49:50,150,66.6,86.3,136,66.9,82.8,91,65.3,84.5
23:50:00,156,62.3,73.5,140,64.3,76.1,95,64.2,78.2
23:50:10,143,60.5,68.3,129,61.5,67.0,101,61.1,73.2
23:50:20,111,60.9,69.3,97,61.2,67.4,67,61.3,69.2
23:50:40,9,117.0,140.0,9,88.6,134.5,7,100.5,139.5
23:50:50,136,70.9,126.2,116,161.3,722.8,86,70.8,125.8
23:51:00,152,60.2,67.3,130,61.6,76.0,96,60.4,68.2
23:51:10,151,60.9,69.1,132,61.2,68.6,97,60.9,71.5
23:51:20,151,60.7,68.1,140,61.5,72.1,93,60.5,66.3
23:51:30,152,60.6,65.6,141,61.2,69.1,100,59.8,64.3
23:51:40,147,60.5,66.4,124,61.8,68.5,92,61.0,66.5
23:51:50,149,110.3,542.7,131,61.5,68.6,94,60.9,69.3
23:52:00,150,61.3,71.1,128,61.8,71.1,96,60.9,71.9
23:52:10,152,61.1,70.6,138,60.5,66.5,92,78.6,153.4
23:52:20,150,61.4,69.9,135,61.7,67.4,100,61.9,71.2
23:52:30,156,60.5,66.7,131,61.4,69.4,98,60.9,71.8
23:52:40,153,60.8,68.9,141,61.7,72.7,95,60.7,68.7
23:52:50,151,61.7,72.1,136,62.3,75.9,91,61.6,72.0
23:53:00,156,60.2,65.4,133,61.4,71.9,101,60.7,67.0
23:53:10,157,60.6,67.3,129,61.4,73.4,95,61.1,69.0
23:53:20,159,60.9,68.3,138,61.3,69.0,91,61.1,71.2
23:53:30,151,72.8,163.6,125,70.5,98.0,95,72.9,161.7
23:53:40,151,62.8,73.5,128,109.3,476.8,95,62.1,71.5
23:53:50,195,63.7,76.2,163,100.2,349.0,127,63.1,99.9
23:54:00,236,63.7,83.6,207,63.5,78.5,143,62.9,75.7
23:54:10,293,62.9,75.5,252,63.7,74.2,182,64.5,98.6
23:54:20,327,144.3,725.9,296,76.8,185.7,204,69.2,112.8
23:54:30,378,120.8,540.2,333,76.9,151.1,243,71.5,122.8
23:54:40,437,66.3,94.4,376,68.6,113.8,268,63.1,73.5
23:54:50,477,84.1,173.4,410,65.5,89.5,297,65.4,84.3
23:55:00,539,67.6,102.4,456,67.2,100.2,337,64.8,97.0
23:55:10,574,119.2,480.9,496,114.5,473.6,334,169.4,785.2
23:55:20,577,138.4,571.8,552,87.5,148.3,405,70.3,110.2
23:55:30,705,102.2,190.7,591,84.9,165.8,421,71.5,105.4
23:55:40,709,96.0,197.3,626,111.1,347.0,450,98.0,287.8
23:55:50,763,119.0,245.7,692,82.4,133.5,484,73.1,111.9
23:56:00,804,152.5,482.5,724,82.6,137.2,508,73.2,118.0
23:56:10,853,144.2,379.7,754,124.9,366.4,549,75.7,124.8
23:56:20,890,123.6,225.7,761,171.7,694.6,567,115.8,380.1
23:56:30,871,332.0,1231.7,761,171.3,471.2,608,84.3,141.1
23:56:40,974,152.3,269.8,851,283.7,918.1,625,115.1,371.2
23:56:50,1004,161.4,311.6,850,268.5,1017.2,688,87.4,138.1
23:57:00,1012,280.2,787.3,929,200.1,351.2,669,86.4,137.6
23:57:10,1067,231.7,422.2,949,186.0,335.3,725,126.8,322.0
23:57:20,1090,347.2,818.3,990,229.8,455.8,740,88.5,137.9
23:57:30,1149,242.9,474.4,1001,290.1,594.8,782,133.7,411.1
23:57:40,1059,547.8,1433.6,1057,246.6,407.8,776,169.5,595.1
23:57:50,1115,441.8,995.6,1054,245.6,439.6,788,172.0,628.2
23:58:00,1134,483.6,1186.1,1060,240.9,431.8,825,132.8,359.0
23:58:10,1156,278.4,534.3,1063,257.3,470.7,777,180.6,714.6
23:58:20,1147,439.7,1016.0,996,362.2,1205.9,821,126.8,335.9
23:58:30,1178,290.5,625.8,1050,340.8,698.1,771,186.7,892.6
23:58:40,1150,418.1,890.3,951,316.4,659.3,818,137.5,309.6
